City/Town,Ward,Pct,"Baker and Polito","Gonzalez and Palfrey","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Winchester,-,4,"1,081",406,0,54,"1,541"
Winchester,-,5,"1,110",355,0,43,"1,508"
Winchester,-,6,989,351,0,39,"1,379"
Winchester,-,7,"1,113",387,0,35,"1,535"
Winchester,-,8,692,343,0,38,"1,073"
Windsor,-,1,246,193,0,18,457
Winthrop,-,1,974,320,6,64,"1,364"
Winthrop,-,2,925,281,4,50,"1,260"
Winthrop,-,3,845,392,5,50,"1,292"
Winthrop,-,4,832,265,7,38,"1,142"
Winthrop,-,5,971,353,5,57,"1,386"
Winthrop,-,6,844,373,6,36,"1,259"
Woburn,1,1,695,294,3,27,"1,019"
Woburn,1,2,875,310,2,53,"1,240"
Woburn,2,1,789,354,5,43,"1,191"
Woburn,2,2,529,300,1,30,860
Woburn,3,1,793,299,2,40,"1,134"
Woburn,3,2,"1,128",329,2,62,"1,521"
Woburn,4,1,"1,033",344,2,57,"1,436"
Woburn,4,2,703,335,5,50,"1,093"
Woburn,5,1,895,386,1,43,"1,325"
Woburn,5,2,965,330,8,38,"1,341"
Woburn,6,1,469,231,1,14,715
Woburn,6,2,843,310,4,62,"1,219"
Woburn,7,1,"1,126",321,7,77,"1,531"
Woburn,7,2,985,269,1,54,"1,309"
Worcester,1,1,"1,241",493,2,31,"1,767"
Worcester,1,2,"1,345",439,6,38,"1,828"
Worcester,1,3,768,281,6,15,"1,070"
Worcester,1,4,"1,122",654,4,28,"1,808"
Worcester,1,5,"1,006",463,3,38,"1,510"
Worcester,2,1,"1,048",463,9,46,"1,566"
Worcester,2,2,"1,047",475,4,29,"1,555"
Worcester,2,3,954,415,4,33,"1,406"
Worcester,2,4,536,536,4,15,"1,091"
Worcester,2,5,213,241,1,9,464
Worcester,3,1,605,414,1,28,"1,048"
Worcester,3,2,149,192,1,9,351
Worcester,3,3,522,392,4,22,940
Worcester,3,4,258,323,2,7,590
Worcester,3,5,636,389,0,20,"1,045"
Worcester,4,1,312,283,2,17,614
Worcester,4,2,544,321,5,19,889
Worcester,4,3,204,344,2,8,558
Worcester,4,4,601,313,1,15,930
Worcester,4,5,774,400,4,26,"1,204"
Worcester,5,1,361,331,2,13,707
Worcester,5,2,773,400,2,20,"1,195"
Worcester,5,3,"1,041",403,2,35,"1,481"
Worcester,5,4,878,430,2,30,"1,340"
Worcester,5,5,831,400,5,23,"1,259"
Worcester,6,1,180,261,0,12,453
Worcester,6,2,325,347,0,16,688
Worcester,6,3,410,347,3,15,775
Worcester,6,4,250,169,3,7,429
Worcester,6,5,660,373,1,23,"1,057"
Worcester,7,1,759,487,0,28,"1,274"
Worcester,7,2,408,377,5,17,807
Worcester,7,3,673,458,5,23,"1,159"
Worcester,7,4,696,396,3,26,"1,121"
Worcester,7,5,810,392,3,30,"1,235"
Worcester,8,1,214,242,0,10,466
Worcester,8,2,189,275,0,11,475
Worcester,8,3,123,344,2,5,474
Worcester,8,4,285,393,0,10,688
Worcester,8,5,323,284,1,12,620
Worcester,9,1,707,511,3,34,"1,255"
Worcester,9,2,908,603,7,40,"1,558"
Worcester,9,3,701,354,4,22,"1,081"
Worcester,9,4,"1,070",455,4,36,"1,565"
Worcester,9,5,"1,084",451,4,27,"1,566"
Worcester,10,1,280,334,4,18,636
Worcester,10,2,262,375,1,10,648
Worcester,10,3,180,326,1,13,520
Worcester,10,4,172,284,0,12,468
Worcester,10,5,171,300,0,10,481
Worthington,-,1,399,270,1,17,687
Wrentham,-,1,"1,404",335,8,35,"1,782"
Wrentham,-,2,"1,507",368,12,49,"1,936"
Wrentham,-,3,"1,440",375,13,45,"1,873"
Yarmouth,-,1,"1,448",502,9,40,"1,999"
Yarmouth,-,2,"1,479",397,7,56,"1,939"
Yarmouth,-,3,981,339,5,23,"1,348"
Yarmouth,-,4,"1,254",372,10,45,"1,681"
Yarmouth,-,5,"1,085",366,7,28,"1,486"
Yarmouth,-,6,"1,089",374,9,44,"1,516"
Yarmouth,-,7,"1,802",433,7,65,"2,307"
TOTALS,,,"1,781,341","885,770","7,504","78,050","2,752,665"
